TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PEP_STAR,RECENT_STAR_STATUS,recency_freq_status,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_PROM_RESP,LAST_GIFT_AMT,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,0,89765,77,0,0,S,20,U,M,2,1,3,1083,374,72,0,0,A3,0.375,21,14,13,21,75
0,0,137263,137,0,0,C,23,H,M,2,1,5,705,266,97,1,0,A3,0.222,18,37,14,18,127
0,0,89966,137,2,0,C,23,H,M,5,0,6,809,407,78,1,0,A1,0.125,18,12,13,18,129
0,0,100147,137,2,0,S,21,H,M,1,0,4,464,256,79,1,0,A2,0.125,17,10,7,15,130
0,0,148098,77,2,0,S,20,H,F,5,1,5,1625,342,42,1,0,A1,0.1,26,25,6,26,67
1,13,179339,53,4,0,T,35,H,M,7,1,8,2321,631,90,1,0,A4,0.5,16,9,13,16,53
0,0,7799,137,6,1,U,9,U,F,1,0,8,641,203,40,1,0,A1,0.2,23,9,34,5,126
0,0,12542,137,6,1,S,13,U,M,,0,9,1177,494,80,1,0,A3,0.333,16,10,31,8,125
0,0,36636,89,6,0,C,23,H,F,1,0,8,1696,303,44,0,0,A1,0.273,24,21,11,24,88
0,0,37268,125,6,0,U,8,U,F,1,1,2,662,243,67,1,1,S2,0.182,17,27,13,17,124
0,0,71038,125,6,0,T,40,U,M,,1,6,792,364,78,1,0,A1,0.111,17,15,13,17,125
0,0,82446,113,6,0,R,49,U,F,4,1,5,781,313,72,1,1,S2,0.182,20,10,13,20,104
1,14,88596,41,6,0,U,3,H,F,5,1,8,1897,406,77,0,0,A2,0.143,16,15,12,16,44
0,0,100525,137,6,0,S,12,H,M,1,1,8,1099,431,86,1,1,S3,0.125,15,5,12,15,129
0,0,104202,77,6,0,C,30,U,F,2,1,0,302,122,39,1,1,S4,0.6,17,6,13,17,70
0,0,130888,137,6,0,R,42,U,F,,0,0,874,321,67,1,1,S2,0.364,18,10,15,18,128
0,0,804,137,7,0,S,11,H,F,5,1,,1227,471,60,1,0,A3,0.2,21,7,13,21,124
0,0,3214,89,7,1,S,12,H,M,7,0,7,0,0,0,1,0,A1,0.091,23,25,30,4,81
0,0,3237,77,7,0,T,37,U,M,2,1,7,697,175,22,0,0,A3,0.222,18,15,28,10,69
0,0,4016,101,7,1,S,15,U,U,6,1,9,2528,439,14,0,0,A1,0.2,20,36,11,20,93
1,10,4225,137,7,1,?,,U,M,1,1,1,1003,258,29,1,0,A1,0,18,11,14,18,128
0,0,4482,137,7,1,?,,H,F,4,0,3,778,168,88,1,0,A1,0.2,21,20,34,17,130
0,0,5405,113,7,1,S,11,H,M,2,1,4,3617,306,55,1,1,S2,0.444,18,10,13,18,113
0,0,6642,137,7,1,R,44,U,F,,0,1,897,305,83,0,0,A2,0.1,24,15,10,24,126
1,14,7160,89,7,1,T,40,H,M,2,1,6,1117,376,75,1,0,A4,0.333,17,15,15,17,81
0,0,9069,137,7,1,C,22,H,M,5,1,,741,238,26,1,0,A4,0.111,17,7,15,17,110
0,0,10906,101,7,1,S,11,U,F,1,1,8,937,344,56,0,0,A1,0.111,17,25,29,13,90
0,0,12005,101,7,1,C,23,H,M,2,1,9,642,307,76,0,0,A1,0,18,50,21,18,90
0,0,14722,113,7,1,?,,U,M,,1,3,503,203,64,1,0,A1,0.182,33,15,28,18,113
0,0,28723,89,7,0,S,15,H,F,5,0,9,4798,491,50,0,0,A1,0,26,35,12,26,86
1,15,30934,89,7,0,R,43,U,M,2,1,2,316,213,82,0,0,A2,0,18,15,11,18,88
0,0,37583,41,7,0,U,10,U,F,1,1,,0,50,0,0,0,A4,0.4,18,6,12,18,40
0,0,37605,89,7,0,U,3,H,M,5,0,8,1748,367,77,0,0,A1,0,,25,8,18,86
0,0,39025,53,7,0,C,26,H,M,5,1,,1284,263,71,1,0,A4,0.3,16,10,14,16,52
0,0,41699,137,7,0,S,20,U,M,1,1,1,613,292,2,1,1,S3,0.2,18,10,14,18,127
0,0,41834,137,7,0,C,29,U,M,,0,5,593,228,68,1,0,A1,0.3,26,10,9,26,129
1,20,45390,89,7,0,S,20,U,F,,0,8,989,244,63,1,1,S1,0,26,15,10,26,85
0,0,53389,89,7,0,U,10,H,F,2,1,2,397,183,69,0,0,A1,0,17,15,12,17,78
0,0,57031,125,7,0,R,49,U,F,5,1,5,643,275,76,1,1,S3,0.273,15,20,14,15,125
0,0,62336,89,7,0,S,20,U,F,5,1,6,549,275,45,1,0,A1,0.091,25,25,12,25,86
0,0,64581,29,7,0,T,40,U,M,5,1,,687,213,96,0,0,A1,0.125,18,25,13,18,29
0,0,65512,137,7,0,S,13,U,M,,1,9,1153,576,93,1,0,A1,0.333,18,10,7,18,120
0,0,67102,89,7,0,S,16,U,F,2,1,6,617,364,74,1,1,S4,0.333,17,6,13,15,89
0,0,67801,113,7,0,U,10,U,F,1,1,1,168,79,20,1,1,S2,0.25,17,20,13,17,113
0,0,70061,41,7,0,C,25,U,F,2,1,,500,154,23,0,0,A1,0.167,18,15,10,18,41
1,16,70722,77,7,0,C,30,H,F,2,1,2,355,252,78,1,0,A1,0,18,16,11,18,77
0,0,70764,137,7,0,R,46,H,M,6,1,3,555,263,70,1,1,S4,0.5,16,5,14,16,123
0,0,74689,137,7,0,T,41,U,M,1,0,2,212,161,66,1,1,S3,0.091,16,11,13,16,126
0,0,75272,137,7,0,S,21,H,M,1,1,6,441,281,88,1,1,S2,0,26,15,13,18,128
0,0,80388,137,7,0,T,41,U,F,1,1,1,352,213,70,1,1,S3,0.571,16,5,13,16,103
0,0,80715,137,7,0,T,41,U,F,,1,0,619,382,94,1,1,S4,0.636,15,5,14,15,122
0,0,82479,17,7,0,U,8,H,F,1,1,,584,224,68,0,0,F1,0.5,17,25,11,17,17
0,0,83585,137,7,0,U,3,H,M,5,0,6,818,240,49,0,0,A1,0,20,20,11,20,129
0,0,85135,137,7,0,R,53,H,F,1,0,0,264,144,67,1,1,S2,0,18,10,12,18,116
1,30,87939,77,7,0,S,14,U,M,,0,9,5294,1035,92,1,0,A1,0,30,25,13,18,75
0,0,93794,89,7,0,C,24,U,M,,0,6,1168,383,60,1,1,S2,0.273,21,14,12,21,92
0,0,95655,77,7,0,C,23,U,F,,0,7,742,469,94,1,1,S2,0.273,18,11,14,18,76
0,0,96140,113,7,0,T,41,H,M,2,1,3,691,310,57,1,0,A1,0,18,16,11,18,105
0,0,97705,89,7,0,C,24,U,F,4,0,8,962,513,90,1,0,A1,0.222,23,10,10,23,87
0,0,101924,53,7,0,S,18,U,F,,1,6,809,354,62,0,0,A1,0.25,24,26,15,24,49
0,0,102379,65,7,0,S,16,H,M,5,0,7,445,331,86,0,0,A3,0.222,18,20,13,18,63
0,0,103077,137,7,0,T,41,U,U,,0,1,235,88,52,1,1,S4,0.455,19,5,12,19,129
0,0,103918,17,7,0,R,51,U,M,2,1,,325,145,70,0,0,F1,0.5,18,15,10,18,18
0,0,106686,137,7,0,R,42,U,M,4,1,1,384,192,69,1,1,S3,0.4,16,10,14,16,120
0,0,110467,137,7,0,T,38,H,M,2,0,5,672,233,50,1,0,A1,0.125,18,11,12,18,130
0,0,114932,41,7,0,T,36,H,M,1,1,,326,100,54,0,0,A1,0,15,16,13,15,37
0,0,116065,89,7,0,C,31,U,F,1,0,2,576,206,32,1,0,A1,0,17,17,13,17,79
0,0,118140,77,7,0,T,34,U,F,4,1,5,852,444,61,1,0,A2,0.1,20,25,13,20,76
0,0,124920,137,7,0,R,52,U,F,,0,2,307,178,75,1,0,A1,0.1,26,17,10,26,114
0,0,125213,41,7,0,S,15,U,M,,1,9,1722,927,95,1,1,S4,0.3,16,13,14,16,44
1,5,126069,137,7,0,R,43,U,F,,0,2,362,204,75,1,1,S4,0.5,16,7,9,16,126
0,0,127479,17,7,0,S,15,H,M,1,1,,952,258,19,0,0,F1,0.5,18,18,12,18,18
0,0,128275,89,7,0,R,48,U,F,5,1,3,348,198,81,1,1,S4,0.636,17,3,13,17,88
0,0,131480,137,7,0,C,25,U,F,,0,2,881,307,55,1,1,S2,0.273,17,13,13,17,128
0,0,133544,113,7,0,T,40,U,F,5,1,8,798,350,92,1,0,A1,0.111,22,25,13,22,112
0,0,134988,89,7,0,U,7,H,F,5,1,5,638,284,71,1,1,S3,0.273,18,25,14,18,80
0,0,138100,113,7,0,C,26,U,M,2,1,,717,250,40,1,0,A2,0,15,18,7,15,112
1,15,142057,41,7,0,T,34,U,U,,0,,2479,409,58,0,0,A2,0.125,19,15,13,19,45
0,0,145434,17,7,0,U,2,H,F,6,0,,3585,540,62,0,0,F1,0.5,17,15,10,17,17
1,5,147936,113,7,0,U,1,H,M,5,1,,3511,373,32,1,0,A3,0.286,15,7,11,15,105
0,0,151649,125,7,0,U,9,U,M,1,1,1,1355,214,21,0,0,A1,0,,15,9,25,125
0,0,156472,77,7,0,U,3,H,M,4,1,7,3357,491,44,0,0,A1,0.222,17,15,13,17,77
0,0,166137,113,7,0,U,8,H,F,1,0,3,1325,215,41,1,0,A1,0.091,18,23,13,18,110
0,0,168557,77,7,0,S,13,H,F,7,1,8,2947,564,95,0,0,A1,0.111,17,35,12,17,75
1,5,170143,101,7,0,T,40,H,F,5,0,5,1722,404,67,1,1,S3,0.333,18,7,9,18,93
0,0,171740,89,7,0,U,3,H,M,6,1,6,1919,486,75,0,0,A1,0.222,24,18,10,24,88
0,0,174939,89,7,0,S,18,U,F,2,1,6,723,296,61,1,1,S2,0.2,19,12,12,19,78
0,0,185599,113,7,0,R,48,H,F,4,0,1,652,216,84,1,0,A1,0,18,15,20,4,111
0,0,186882,137,7,1,C,25,H,F,2,1,5,514,202,44,1,1,S2,0.364,16,15,20,5,123
1,11,190837,41,7,1,C,31,U,F,2,1,,432,203,35,1,1,S4,0.3,20,12,13,20,44
0,0,139578,137,12,0,T,35,H,M,5,1,,1815,679,94,1,0,A2,0.111,21,12,13,21,129
1,22,187807,65,14,0,R,49,U,M,,1,9,612,330,86,0,0,E1,0.25,18,16,7,18,57
0,0,152780,125,15,0,T,35,H,F,7,0,7,1992,542,92,0,0,A2,0.222,18,15,13,18,123
1,5,155553,137,15,0,C,27,H,F,2,1,1,1348,386,87,1,1,S3,0.182,18,5,15,6,122
1,6,2320,89,16,0,S,20,H,F,1,1,7,634,336,70,1,1,S3,0.545,16,3,22,16,88
0,0,2868,137,16,0,S,21,U,F,,0,4,1601,321,66,1,1,S3,0.125,16,3,19,16,128
